Year,Month,World,Education,Home & Garden,Great Homes & Destinations,Science,The Learning Network,Giving,Obituaries,Theater,Universal,Arts,The Upshot,Front Page,Real Estate,Corrections,Automobiles,International Home,Times Insider,"Great Homes, Destinations",Opinion,Books,Travel,Blogs,Food,Fashion & Style,Briefing,U.S.,Magazine,Crosswords & Games,Technology,Podcasts,Health,Movies,NYT Now,National,Multimedia,Unknown,N.Y. / Region,Sunday Review,Watching,Booming,Your Money,Times Topics,Dining & Wine,Business,Public Editor,T:Style,Washington,Well,Open,Sports,T Magazine,Week in Review,Job Market,New York
2011,1,26.13827993,41.37931034,67.5,90.90909091,39.87730061,,,37.5,21.56862745,,48.92412231,,16.66666667,50,,16.44736842,,,,13.5371179,44,67.27272727,,23.52941176,54.09252669,,42.00743494,42.42424242,0.961538462,36.44444444,,47.17948718,48.32214765,,,49.54954955,7.407407407,41.44927536,,,,21.05263158,,63.15789474,23.38709677,,46.85714286,28.57142857,,0,31.33997785,,33.33333333,20,
2011,2,28.03889789,29.72972973,65.90909091,91.66666667,41.07142857,,,22.22222222,29.91452991,,49.13366337,,8.333333333,46.98795181,,11.30434783,,,,11.26436782,40.94488189,72.63157895,0,23.52941176,53.73134328,,43.3903577,51.25,5.263157895,36.54822335,,53.64583333,53.65853659,,,56.04395604,13.15789474,32.83828383,,,,18.75,,70.21276596,22.15909091,,48.94366197,0,,0,24.07643312,88.88888889,43.47826087,62.5,
2011,3,28.61072902,29.54545455,73.07692308,80,40.52631579,,,10.52631579,22.60869565,,43.97321429,,25,46.51162791,,9.734513274,,,,13.58267717,40.8045977,72.46376812,,18.75,54.66666667,,42.50645995,36.95652174,3.174603175,32.52427184,,56.45933014,45.26315789,,,55,15,39.16666667,,,,20,,66.15384615,26.35078969,,38.58921162,0,,100,25.26621491,92.85714286,33.33333333,37.5,
2011,4,25.80645161,32.20338983,78.43137255,45.45454545,31.54761905,,,17.24137931,32.78688525,,45.03722084,,42.85714286,41.37931034,,18.58974359,,,,27,40.78947368,71,0,14.28571429,46.61921708,,46.17563739,41.78403756,4.918032787,35.5450237,,62.58064516,48.5,,,63.07692308,36.93304536,40.03067485,,,,11.11111111,,60.34482759,29.58333333,,45.45454545,60,,66.66666667,23.29268293,100,13.79310345,37.5,
2011,5,28.31594635,30.43478261,58.13953488,60,41.20879121,,,17.64705882,25.92592593,,45.01278772,,16.66666667,40.59405941,,6.603773585,,,,22.71293375,46.06060606,66.06060606,,14.28571429,45.36423841,,45.36784741,31.8627451,5.084745763,37.71929825,,66.27218935,50.28901734,,,55.55555556,29.844098,39.20118343,,,,22.22222222,,60.31746032,30,,43.24324324,0,,100,19.45945946,85.71428571,21.62162162,40,
2011,6,28.00658979,50,60.78431373,66.66666667,49.44444444,,,22.22222222,24.32432432,,45.30864198,,25,48.91304348,,10.71428571,,,,32.71375465,42.07650273,61.01694915,100,0,51.69491525,,50.14124294,35.8778626,3.636363636,33.72093023,,55.0295858,42.44604317,,,20,38.80837359,41.16059379,66.66666667,,,23.52941176,,65.78947368,31.56089194,,60,33.33333333,,0,18.0476731,66.66666667,30,50,
2011,7,35.07588533,33.33333333,63.63636364,83.33333333,50.86705202,,,6.25,25.77319588,,39.97461929,,27.27272727,39.80582524,,8.928571429,,,,32.03883495,41.52046784,68.50393701,,13.33333333,45.65217391,,43.74100719,30.06535948,3.389830508,34.15841584,,60.92715232,41.30434783,,,51.25,30.66132265,39.29618768,21.42857143,,,28.57142857,,69.3877551,29.57371226,,66.66666667,0,,0,15.97796143,60,,50,
2011,8,30.09009009,14.81481481,57.14285714,91.66666667,50,,,7.407407407,30.88235294,,34.96027242,,15.78947368,55.42168675,,11.51515152,,,,22.84569138,41.13475177,71.52777778,0,0,55.33333333,,44.90797546,36.47058824,6.849315068,34.35114504,,43.56435644,44.05594406,,,49.5412844,29.5890411,40.61662198,40,,,7.692307692,,66.17647059,31.4147018,,48.21428571,0,,25,26.53429603,42.85714286,,50,
2011,9,32.86318759,27.5862069,60.78431373,80,37.39837398,,,9.090909091,21.42857143,,34.98570067,,36.36363636,44.30379747,,9.132420091,,,,16.11893584,37.77777778,69.58762887,0,22.22222222,46.4957265,,43.94435352,35.42600897,2.150537634,40.96045198,,59.09090909,38.7755102,,,22.22222222,25.17006803,41.00558659,12.5,,,7.142857143,0,70.83333333,32.46492986,,56.56424581,0,,0,23.66946779,90,,62.5,
2011,10,35.4248366,36.66666667,62.5,75,36.71875,,,12.90322581,21.05263158,,35.56370302,,22.22222222,37.5,,11.57894737,,,,15.92797784,33.77483444,72.77777778,0,25,51.05932203,,44.30479183,30.3030303,5.555555556,19.52506596,,52.13675214,36.4640884,,,49.43820225,21.33333333,41.8344519,11.11111111,,,14.28571429,0,76.74418605,30.39388595,,51.76767677,,,33.33333333,28.85608856,88.88888889,,50,
2011,11,35.28610354,31.14754098,45.65217391,75,33.94495413,,37.5,30.76923077,28.7037037,,34.6743295,,33.33333333,34.14634146,100,20.89552239,,,,15.16634051,39.86486486,62.13592233,0,15.78947368,50.43177893,,44.92512479,32.69230769,3.191489362,30.64516129,,47.98534799,41.13475177,,,50.53763441,27.81954887,37.15277778,22.22222222,,,26.08695652,0,75.75757576,31.85316755,,36.58536585,28.57142857,,0,27.95614722,77.77777778,,42.85714286,
2011,12,27.70780856,58.33333333,56,75,33.96946565,,,21.875,25,,41.20781528,,25,33.72093023,,6.470588235,,,,13.86603995,39.18128655,73.68421053,0,6.25,38.83495146,,45.50810015,43.75,5.882352941,28.11594203,,45,41.75824176,,,47.36842105,11.96581197,40.71428571,66.66666667,,,21.05263158,0,63.88888889,30.41269841,,45.22821577,25,,0,30.21148036,71.42857143,,37.5,
